Row,Sample.ID,CSS,Farm,Field,Country,Particles.map,Particles.Map.ha,Weight.map,Kg.ha.weight.map,Particles.Mip,Area.Mip,Near.house,Near.road,Near.fields,Fence,Forest,Landfill,Industry,Crop.2022,Crop.2021,Crop.2020,Crop.2019,Crop.2018,CropDominant3,CropDominant4,Plastic,Org.fertilizer,Coating,Pesticide,Animal.manure,Compost,Cow.manure,Green.manure,Compost.manure,Chicken.manure,Orther.fert,Mulch,Irrig.pipe,Rope,Transplant.trays,Sprinkler,Tunnel,Net,Biodegradable,Perception,PH,Clay.per,Sand.per,Silt.per,OM.content,Size.m2,Slope,Road.speed,Road.distance.m,Fence.type,Forest.distance.m,Landfill.distance.m,Industry.distance
129,CSS07.06.1,7,6,1,Italy,1.25,12500,145.7,0.36,1,134052.48,no,no,yes,no,no,no,no,other_vegetable,other_vegetable,other_vegetable,arable_crops,arable_crops,other_vegetable,mixed,yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,medium-large,5.99,46.57,10,43.43,1.93,48000,0,no,,,,na,na
130,CSS07.06.2,7,6,2,Italy,0.25,2500,6.4,0.02,0,0,yes,yes,no,no,no,no,no,arable_crops,arable_crops,arable_crops,arable_crops,orchards,arable_crops,arable_crops,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,medium-large,6.82,44.33,13.42,42.25,2.015,28000,0,road_50,100,,,na,na
131,CSS07.07.1,7,7,1,Italy,0.5,5000,4980.1,12.45,0.5,958080.96,no,no,yes,no,yes,no,no,arable_crops,arable_crops,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,greenhouse_vegetable,mixed,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,yes,small,7.69,52.71,7.79,39.5,1.435,8000,0,no,,,150,na,na
132,CSS07.07.2,7,7,2,Italy,1,10000,2062.8,5.16,0,0,no,no,yes,no,yes,no,no,arable_crops,arable_crops,other_vegetable,other_vegetable,other_vegetable,other_vegetable,mixed,yes,yes,no,yes,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,small,7.765,39.43,18.57,42,1.115,8000,0,no,,,150,na,na
133,CSS07.08.1,7,8,1,Italy,0,0,0,0,12,252334.08,no,yes,yes,no,no,no,no,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,other_vegetable,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,small,7.57,3.14,93.07,3.79,0.4,15000,0,road_80,0,,,na,na
134,CSS07.08.2,7,8,2,Italy,0,0,0,0,2,47312.64,no,yes,yes,no,no,no,no,greenhouse_vegetable,other_vegetable,arable_crops,other_vegetable,arable_crops,mixed,mixed,yes,yes,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,small,7.47,6.64,84.29,9.07,0.64,15000,0,road_80,0,,,na,na
135,CSS07.09.1,7,9,1,Italy,0,0,0,0,11,630835.2,no,yes,yes,no,no,no,no,arable_crops,arable_crops,arable_crops,arable_crops,other_vegetable,arable_crops,arable_crops,no,yes,na,no,no,yes,no,no,no,no,no,no,no,no,no,no,na,no,no,small,7.135,31.14,47.43,21.43,1.405,30000,0,dirtroad,,,,na,na
136,CSS07.09.2,7,9,2,Italy,2.25,22500,3955.5,9.89,18,317388.96,no,no,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,small,6.71,34.57,47.57,17.86,1.42,30000,0,no,,,,na,na
137,CSS07.10.1,7,10,1,Italy,1,10000,385.1,0.96,39,528324.48,no,no,yes,no,no,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,medium,6.865,43.86,38.64,17.5,1.085,9000,0,no,,,,na,na
138,CSS07.10.2,7,10,2,Italy,4.5,45000,42543.2,106.36,5,141937.92,no,no,yes,no,yes,no,no,orchards,orchards,orchards,orchards,orchards,orchards,orchards,yes,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,yes,no,medium,7.03,28.21,46.43,25.36,1.775,1000,2,no,,,200,na,na
